Atom Index,RMSF (Per Atom)
0,0.9365542589236968
1,1.0922790013856625
2,1.3261044181655581
3,1.0063212954415084
4,0.9332827777045308
5,1.0097652820947833
6,0.9975774342396204
7,0.9434802211578891
8,0.9784298124872107
9,1.091768060866573
10,1.1612052433749183
11,0.972723076146843
12,1.1931083150206885
13,1.0542491863412502
14,1.1648302673323363
15,1.018632769867908
16,1.1353513839511113
17,1.086558509095668
18,1.1208471422047597
19,0.9615461530673365
20,1.0931733879699035
21,1.0461391218961258
22,1.2962537997383987
23,1.0716897455095327
24,0.9223797198410548
25,1.0323148655959913
26,1.0656195104278396
27,0.9462544446160632
28,1.3277870535846565
29,1.2687318336749165
30,1.0769198838492773
31,1.1530634482030218
32,1.1758828899094593
33,1.3670206485742347
34,0.9758765560632086
35,1.437261026924699
36,1.503111418445066
37,1.4662142369535174
38,1.2895411968401607
